Date,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021
ACC,1413.5,1411.5,1446.05,1626.55,1637.05,1568.05,1733.2,1800.25,1656.9,1809.5,1667.9,1758.4,1715.25,1623.05,1507.5,1587.15,1354.6,1339.9,1529.75,1638.75,1552.35,1374.8,1485.5,1508.1,1423.35,1422.3,1666.3,1632.05,1686,1562.15,1560.4,1519.85,1608.15,1568.05,1522.15,1445.65,1504.6,1320.85,968.5,1179.1,1270.2,1332.25,1425.45,1321.8,1393.45,1649,1705.05,1617.65,1603.85,1733.2,1903.25,1882.75,1986.05,2014.8,2394.1,2413.2,2254.5,2333.4,2286.4,2262.2
Adani Enterprises Limited,47.48814,53.67277,59.14903,59.36699,63.64446,72.2539,75.14188,72.22665,63.37201,72.09043,79.88252,90.64432,116.1729,110.9146,85.22255,89.89113,77.63616,72.59944,125.4049,144.5252,130.6,170,165,161,137.15,128.85,146.75,127.05,154.75,150.5,128.8,137.35,145.85,199.65,214.9,208.35,229.45,218.65,137.6,141.4,148.35,156.25,175.25,279.55,297.1,339.7,398.4,479.55,506.65,833.65,1031.15,1158.7,1316.3,1507.55,1420.25,1587.6,1468.1,1423.6,1662.85,1708.1
Adani Green Energy Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4,57.4,40.85,39.65,46.75,41.85,35.6,33.05,37.15,40.05,43.3,44.4,46.8,46.4,58.25,89.7,137.1,166.45,189.45,154.95,153.25,210.45,248.6,358.85,340.65,452.75,737.6,856.4,1136.4,1052.6,1004.9,1159.85,1104.85,1018.95,1268.2,1124.9,882.3,1068.35,1146.6,1152.85,1295.4,1389.65
Adani Ports and Special Economic Zone Limited,293.35,301.75,339.6,327.7,339,363.05,395.9,392.95,376.75,430.35,398,405.65,428.85,408.35,354.1,407.3,392.15,373.15,399.75,383.15,328.9,318.85,365.65,387.7,338.65,325.85,378.15,392.8,416.4,410.2,377.55,365.7,413.95,395.8,382.05,366,369.4,342.2,251.3,290.1,323.8,343.9,315.2,355.75,341.75,359.85,411.55,483.75,509.7,675.9,702.4,730.05,769.55,703.7,674.5,748.3,737.9,693,683.85,737.45
Adani Transmission Limited,63.35,61.95,64.35,78,120.45,123.9,124.65,126.75,152.45,207.45,183.4,223.5,209.25,202.65,191.25,168.95,135.85,155.95,169.5,227.9,160.25,166.65,226.45,198.9,212.25,203.55,217.9,217.05,235.6,224.35,206.95,234.5,228.6,273.7,309.7,331.9,331.95,253.05,188.75,206.7,174.9,259.7,235.4,253.7,242.3,290.3,377.15,437.7,461,749.6,908.35,1049.85,1474.55,1062.95,903.75,1580.1,1552.35,1786.85,1807.75,1862.05
Ambuja Cements Limited,229.05,229.35,236.65,245.9,241.25,246.55,263.15,280.35,266.45,281.5,262.5,272.05,261.8,252.35,232.95,250.65,205.4,207.45,230.7,241.35,223.55,197.15,217.45,225.1,209.9,212.05,235.3,220.5,230.6,212.85,201.9,202.35,203.95,202.3,204.65,196.25,204.5,205.05,155.7,171.65,191.55,193.6,220.1,210.55,217,259.7,261.05,248.85,243.35,273.5,308.85,309.05,326.8,340.65,411.15,421.05,400.2,404.8,374.6,376.6
Apollo Hospitals Enterprise Limited,1230.05,1301.65,1165.15,1233.25,1211.1,1274.55,1259,1082.6,1005,1038.55,1106.3,1204.8,1162.8,1203.05,1064.65,1091,950.35,1047.45,951.9,1182.7,1042.25,1141.05,1264.8,1258.3,1325.65,1140.9,1227.6,1216.5,1238.8,1359.2,1351.6,1508.15,1395.5,1484.8,1441.2,1442,1660.2,1735.8,1139.05,1394.35,1356.95,1349.85,1674.6,1634.55,2148.05,2119.45,2347.9,2412.8,2561.25,3058.65,2902.65,3197.5,3168.75,3619.85,4035,4969.55,4481.6,4262.05,5687.75,5432.4
Asian Paints Limited,970.7,1024.2,1073.5,1120.45,1151.2,1102.95,1161.7,1168.55,1131.7,1180.85,1146.75,1158.5,1128.3,1117.75,1120.4,1201.7,1304.65,1264.45,1451.4,1372.45,1293.3,1230.4,1345.95,1373.05,1412.6,1405.2,1492.7,1463.15,1407.3,1358.15,1521.1,1616.2,1762.15,1809.6,1706.15,1784.95,1795.65,1797.95,1666.5,1758.7,1683.1,1687.45,1715.5,1899.1,1986.4,2211.5,2215.3,2764.5,2407.35,2277.2,2537.4,2536.4,2977.5,2992.7,2958.45,3201.35,3244.65,3100.1,3143.65,3110.45
Aurobindo Pharma Limited,681.8,677.2,675.2,606.75,574.15,684.6,718.6,725.25,691.65,760,692.85,687.95,629.55,613.9,557.85,642,556.3,607.1,591.55,712.75,744.45,791.55,810.7,732.95,787.8,712.05,784.25,819.05,672.4,608.05,571.25,600.7,589,469.85,449.9,456.85,481.4,505.5,413.15,625.85,745.65,771.7,874.6,808.9,796.5,772.65,868.55,921.3,905.25,855.2,881.3,980.85,997.95,965.2,916.6,727.3,724.8,689.35,660.25,674.15
Avenue Supermarts Limited,0,0,0,736.5,745.15,815.1,919.7,1039.8,1078.45,1140.6,1118.1,1181.35,1179.65,1348.15,1324.8,1490.65,1572.15,1485.4,1654.9,1604.5,1395.95,1337.95,1492.5,1606.65,1374.85,1455.8,1471.1,1295.5,1323.1,1397.9,1482.7,1571.15,1860.6,1994.65,1822.5,1838.35,2133.95,2323.95,2187.5,2383.65,2269.35,2317.15,2063.45,2251.25,2203.15,2239.9,2289.2,2763.6,2651.5,2994.2,2859.05,2852.9,3069.4,3344.1,3500.8,3954.8,4250.2,4635.45,4710.9,4799.05
